x,y,z
0.00251,6.85987,11.22818
0.01146,7.08214,11.59952
0.03658,17.81857,17.78594
0.05155,42.29392,32.11771
0.05201,25.14008,34.96686
0.12331,7.95746,0.74914
0.19908,8.12397,3.00224
0.38926,3.99233,21.75721
0.39491,6.36494,12.11522
0.43431,7.20457,34.71869
0.44003,5.6335,1.25201
0.44251,8.14913,22.12789
0.45594,0.33936,20.40024
0.46788,27.16861,6.73768
0.5159,17.45652,7.87384
0.54669,39.20349,7.25232
0.57117,9.67911,35.22632
0.59248,7.26036,9.83808
0.59829,7.40064,10.03075
0.61379,41.59894,7.74959
0.6344,46.32804,33.33413
0.63757,3.86837,20.61241
0.64109,26.59062,0.99567
0.80088,9.35264,4.33916
0.80227,7.21453,49.74972
0.99759,16.34041,12.46486
1.03148,2.66627,36.54524
1.06438,18.28013,17.76159
1.07395,2.63056,4.72544
1.07459,2.62794,4.72674
1.11177,2.13578,40.84562
1.11442,21.99019,3.00272
1.141,11.09642,2.23464
1.16218,17.55289,11.16121
1.19251,8.48635,1.4565
1.21466,12.73487,16.05122
1.23347,39.76567,32.44104
1.25154,10.68999,10.69688
1.2933,13.16582,48.32202
1.30758,0.47704,13.59011
1.31656,11.95719,2.97377
1.33103,18.39277,24.02282
1.41454,31.64233,16.22374
1.4368,46.98976,12.74694
1.45031,22.04802,3.59605
1.45632,14.05534,12.50299
1.47339,16.73387,22.21
1.52022,12.49205,2.17849
1.52362,34.1103,22.15082
1.52755,1.84223,13.52618
1.62862,20.67095,5.68697
1.66039,21.73634,39.83891
1.68788,8.97197,9.40352
1.68788,8.97197,9.40352
1.68845,8.82782,9.30687
1.68888,8.82647,9.30807
1.71559,9.51929,8.14532
1.77225,27.96755,36.07779
1.78595,20.68283,4.66091
1.83387,11.4999,29.84988
1.84524,24.79911,34.55307
1.87288,16.53125,20.70425
1.89244,3.32163,15.51814
1.90841,3.82452,34.40961
1.92137,16.70099,0.57113
1.94236,32.95152,49.15128
1.9646,8.92581,10.45808
1.97129,4.31646,17.90021
2.05644,8.1535,11.21264
2.06578,0.84535,41.65906
2.16132,5.75599,8.12809
2.16185,19.16873,3.51474
2.16186,19.16883,3.51418
2.16213,13.51268,4.26859
2.16387,13.8268,4.38138
2.20699,12.89416,19.22764
2.2264,16.60387,4.67031
2.26851,13.08652,21.93305
2.26903,2.48845,11.5831
2.26981,13.08823,21.9319
2.28869,4.50137,10.70283
2.29054,11.07796,38.16781
2.32714,23.1771,30.38313
